;brand;price
49;Cadeira Gamer Alpha Gamer Kappa,  Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Azul - AGKAPPA-BK-BL;R$ 699,99
50;Cadeira Gamer DT3 Royce Ashen, Com Almofadas, Reclinável, Apoio de braço 4D, Cinza e Preto - 13340-1;R$ 2.299,99
51;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 839,99
52;Cadeira Gamer, XT Racer Draco, Reclinável Ergonômica, Tecido Polyester, Preto e Azul.;R$ 2.299,00
53;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW;R$ 2.099,99
54;Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW;R$ 849,99
55;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza - CF-9010031-WW;R$ 1.799,99
56;Cadeira Gamer Mymax Mx9, Até 150Kg, Giratória, Preto/Azul;R$ 636,65
57;Cadeira Gamer, Prizi, Infinity, Até 150Kg, inclinação multifuncional  - Amarela;R$ 369,90
58;Cadeira Gamer Xt Racer Platinum W Series Cor:preto;R$ 1.407,12
59;Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd;R$ 466,65
60;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Branco;R$ 466,65
61;Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB;R$ 549,99
62;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW;R$ 2.339,99
63;Cadeira Gamer Husky Gaming Blizzard RGB, Preto, Luz RGB, Com Almofadas, Reclinável - HBL-RGB;R$ 899,99
64;Cadeira Gamer Alpha Gamer Vega, Preto e Azul, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 979,99
65;Cadeira Gamer XT Racer Draco, Até 130 Kg, Reclinável Ergonômica, Tecido Polyester, Preto;R$ 2.299,00
66;Cadeira Gamer Husky Gaming Polar, Preto e Branco, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HPO-BW;R$ 667,99
67;Cadeira Gamer Alpha Gamer Vega, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.179,99
68;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.149,99
69;Cadeira Gamer Noblechairs Hero, Black - NBL-HRO-PU-BLA;R$ 3.099,99
70;Cadeira Gamer Alpha Gamer Nimbus,  Até 125 kg, Apoio de Braço 4D, Reclinável, Preto e Cinza- AGNIMBUSBK;R$ 1.299,99
71;Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002;R$ 2.549,99
72;Cadeira Gamer ThunderX3 EC3, Até 120kg, com Almofadas, Preto e Vermelho - 67999;R$ 1.049,99
73;Cadeira Gamer Alpha Gamer Vega, Até 150Kg, Cilindro de Gás 4,  Braço Ajustável, Preto e Laranja;R$ 949,99
